 
 ----------START O ISOTOPE CALCULATION----------
 
  Gross Primary Productivity FOR O2 CO2= 1.16E+14  8.45E+13 cm-2s-1
  TURN OFF Combinatorial Effect
  TURN ON Symmetry Effect
 
 INITIAL MIXING RATIOS OF ISOTOPIC SPECIES
 
Alt(km)  H2CQ     Q        H2Q      QH       HOQ      H2OQ     O2Q      OQO      CQ       CH3OQH  
  83.5   2.22E-17 1.77E-17 1.77E-17 1.63E-14 3.23E-12 1.12E-16 1.88E-18 3.75E-18 8.12E-22 1.62E-21
  85.5   8.89E-18 1.14E-17 1.14E-17 4.34E-15 2.86E-12 1.62E-17 3.54E-19 9.67E-19 7.76E-23 1.55E-22
  87.5   3.58E-18 8.65E-18 8.65E-18 1.21E-15 2.52E-12 7.03E-18 8.06E-20 2.51E-19 7.57E-24 1.51E-23
  89.5   1.45E-18 7.26E-18 7.26E-18 3.82E-16 2.21E-12 4.08E-18 2.02E-20 6.52E-20 7.47E-25 1.49E-24
  91.5   5.92E-19 6.50E-18 6.50E-18 1.41E-16 1.95E-12 2.45E-18 4.78E-21 1.70E-20 7.50E-26 1.50E-25
  93.5   2.43E-19 6.03E-18 6.03E-18 6.16E-17 1.74E-12 1.51E-18 1.17E-21 4.46E-21 7.65E-27 1.53E-26
  95.5   1.02E-19 5.69E-18 5.69E-18 3.16E-17 1.58E-12 9.56E-19 2.93E-22 1.18E-21 7.99E-28 1.60E-27
  97.5   4.50E-20 5.38E-18 5.38E-18 1.95E-17 1.47E-12 6.23E-19 7.39E-23 3.25E-22 8.67E-29 1.73E-28
  99.5   2.59E-20 5.07E-18 5.07E-18 1.51E-17 1.43E-12 4.20E-19 1.94E-23 1.20E-22 1.24E-29 2.48E-29
Alt(km)  CH3QOH   CH3OQ    CH3QO    N2Q      NQ       NOQ      HNOQ     HNO2Q    HOQNO2   HO2NOQ  
 
Alt(km)  NO2Q     N2O4Q    N2QO4    OQ       SQ       SOQ      H2SO3Q   HSQ      COQ     
   0.5   1.37E-17 1.05E-17 2.62E-18 3.23E-04 3.66E-23 4.82E-14 6.11E-15 6.09E-17 4.61E-07
   1.5   1.49E-17 2.02E-17 5.05E-18 3.23E-04 5.59E-23 8.46E-14 1.22E-14 7.57E-17 4.67E-07
   2.5   1.72E-17 4.27E-17 1.07E-17 3.23E-04 8.42E-23 1.17E-13 1.92E-14 8.78E-17 4.72E-07
   3.5   1.98E-17 9.57E-17 2.39E-17 3.23E-04 1.27E-22 1.48E-13 2.62E-14 1.03E-16 4.77E-07
   5.5   2.30E-17 3.35E-16 8.39E-17 3.23E-04 3.02E-22 2.09E-13 3.83E-14 1.44E-16 4.85E-07
   7.5   1.98E-17 4.41E-16 1.10E-16 3.23E-04 6.53E-22 2.65E-13 4.16E-14 2.06E-16 4.92E-07
   9.5   1.89E-17 4.62E-16 1.16E-16 3.23E-04 1.22E-21 2.75E-13 3.73E-14 2.21E-16 4.96E-07
  11.5   2.01E-17 5.92E-16 1.48E-16 3.23E-04 5.59E-22 1.54E-13 1.93E-14 6.06E-17 4.96E-07
  13.5   2.21E-17 1.22E-15 3.06E-16 3.23E-04 4.30E-23 5.64E-14 3.55E-15 6.74E-18 4.96E-07
  15.5   5.75E-17 6.30E-15 1.58E-15 3.23E-04 3.15E-24 1.36E-14 6.25E-16 2.90E-19 4.96E-07
  17.5   1.49E-16 2.47E-14 6.17E-15 3.23E-04 1.61E-24 2.70E-15 1.16E-16 6.54E-21 4.96E-07
  19.5   3.10E-16 6.01E-14 1.50E-14 3.23E-04 1.83E-24 5.01E-16 2.29E-17 1.08E-22 4.97E-07
  21.5   5.62E-16 1.04E-13 2.60E-14 3.23E-04 1.67E-24 9.44E-17 5.17E-18 1.58E-24 4.97E-07
  23.5   9.60E-16 1.50E-13 3.74E-14 3.23E-04 1.23E-24 1.80E-17 2.09E-18 1.93E-26 4.97E-07
  25.5   1.55E-15 1.94E-13 4.85E-14 3.23E-04 7.97E-25 3.45E-18 5.91E-18 1.77E-28 4.97E-07
  27.5   2.39E-15 2.36E-13 5.89E-14 3.23E-04 4.67E-25 6.57E-19 1.15E-17 1.26E-30 4.97E-07
  29.5   3.47E-15 2.58E-13 6.45E-14 3.23E-04 2.85E-25 1.42E-19 1.25E-17 9.59E-32 4.97E-07
  31.5   4.54E-15 2.30E-13 5.74E-14 3.23E-04 3.28E-25 6.33E-20 1.27E-17 8.16E-32 4.97E-07
  33.5   5.23E-15 1.55E-13 3.86E-14 3.23E-04 8.38E-25 7.41E-20 1.26E-17 1.53E-31 4.97E-07
  35.5   5.19E-15 7.70E-14 1.93E-14 3.23E-04 2.24E-24 1.11E-19 1.25E-17 2.87E-31 4.97E-07
  37.5   4.35E-15 2.83E-14 7.08E-15 3.23E-04 5.15E-24 1.62E-19 1.24E-17 4.23E-31 4.97E-07
  39.5   3.15E-15 7.72E-15 1.93E-15 3.23E-04 1.06E-23 2.36E-19 1.23E-17 5.28E-31 4.97E-07
  41.5   1.98E-15 1.54E-15 3.85E-16 3.23E-04 2.13E-23 3.61E-19 1.20E-17 6.49E-31 4.97E-07
  43.5   1.09E-15 2.43E-16 6.08E-17 3.23E-04 4.21E-23 5.74E-19 1.16E-17 8.34E-31 4.97E-07
  45.5   5.51E-16 3.47E-17 8.68E-18 3.23E-04 7.87E-23 8.92E-19 1.09E-17 1.05E-30 4.97E-07
  47.5   2.69E-16 4.98E-18 1.25E-18 3.23E-04 1.34E-22 1.29E-18 1.01E-17 1.23E-30 4.97E-07
  49.5   1.31E-16 8.05E-19 2.01E-19 3.23E-04 2.32E-22 1.72E-18 9.24E-18 1.44E-30 4.97E-07
  51.5   6.40E-17 1.38E-19 3.46E-20 3.23E-04 3.84E-22 2.14E-18 8.38E-18 1.75E-30 4.97E-07
  53.5   3.20E-17 2.74E-20 6.84E-21 3.23E-04 6.72E-22 2.52E-18 7.60E-18 2.51E-30 4.97E-07
  55.5   1.64E-17 5.91E-21 1.48E-21 3.23E-04 1.17E-21 2.86E-18 6.92E-18 4.12E-30 4.96E-07
  57.5   8.69E-18 1.39E-21 3.48E-22 3.23E-04 2.00E-21 3.14E-18 6.32E-18 7.35E-30 4.96E-07
